[1494938992621][**] $GPMWV,166.50,R,6.10,N,A*29
[1494938992682][**] $GPHDG,322.00,,,2.00,E*34
[1494938992743][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
[1494938992802][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
[1494938992997][**] $GPGGA,124952,5907.4750,N,01014.1000,E,1,04,2.00,0.00,M,,,*3A
[1494938993000][**] $GPRMC,124952,A,5907.4750,N,01014.1000,E,0.1000,358.000,160517,,*27
[1494938993064][**] $GPGGA,124952,5907.4700,N,01014.1000,E,1,04,2.00,0.00,M,,,*3F
[1494938993068][**] $GPRMC,124952,A,5907.4700,N,01014.1000,E,0.1000,358.000,160517,,*22
[1494938993132][**] $GPDBT,14.50,f,4.42,M,,*5C
[1494938993193][**] $GPVHW,,,322.00,M,0.00,N,0.00,K*0B
[1494938993252][**] $GPRSA,222.00,A,,,*26
[1494938993312][**] $GPMTW,50.00,C*31
[1494938993374][**] $GPVHW,,,322.50,M,0.00,N,0.00,K*0E
[1494938993457][**] $GPMTW,-1.00,C*28
[1494938993512][**] $GPVWR,168.00,R,6.10,N,,,,*50
[1494938993574][**] $GPMWV,168.00,R,6.10,N,A*22
[1494938993631][**] $GPVWR,168.00,R,7.90,N,,,,*59
[1494938993692][**] $GPMWV,168.00,R,7.90,N,A*2B
[1494938993752][**] $GPHDG,322.00,,,2.00,E*34
[1494938993812][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
[1494938993872][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
[1494938994347][**] $GPGGA,124953,5907.4750,N,01014.1000,E,1,04,2.00,0.00,M,,,*3B
[1494938994351][**] $GPRMC,124953,A,5907.4750,N,01014.1000,E,0.1000,358.000,160517,,*26
[1494938994416][**] $GPDBT,14.80,f,4.51,M,,*53
[1494938994475][**] $GPVHW,,,322.00,M,0.00,N,0.00,K*0B
[1494938994532][**] $GPMTW,50.00,C*31
[1494938994592][**] $GPVHW,,,322.00,M,0.00,N,0.00,K*0B
[1494938994654][**] $GPMTW,-1.00,C*28
[1494938994714][**] $GPRSA,222.00,A,,,*26
[1494938994772][**] $GPVWR,149.50,R,7.90,N,,,,*5F
[1494938994832][**] $GPMWV,149.50,R,7.90,N,A*2D
[1494938994892][**] $GPVWR,149.50,R,7.70,N,,,,*51
[1494938994952][**] $GPMWV,149.50,R,7.70,N,A*23
